Date,Open,High,Low,Close,Adj Close,Volume
2014-07-08,2490.0,2512.5,2430.0,2490.0,1742.0174560546875,134088800
2014-07-09,2490.0,2490.0,2490.0,2490.0,1742.0174560546875,0
2014-07-10,2587.5,2650.0,2537.5,2587.5,1810.2291259765625,219179600
2014-07-11,2525.0,2587.5,2492.5,2525.0,1766.5037841796875,52108000
2014-07-14,2512.5,2550.0,2495.0,2512.5,1757.7586669921875,37623000
2014-07-15,2537.5,2562.5,2512.5,2537.5,1775.2490234375,32439000
2014-07-16,2575.0,2600.0,2550.0,2575.0,1801.484130859375,58664200
2014-07-17,2537.5,2600.0,2512.5,2537.5,1775.2490234375,37061600
2014-07-18,2562.5,2575.0,2512.5,2562.5,1792.7388916015625,29182200
2014-07-21,2575.0,2600.0,2562.5,2575.0,1801.484130859375,36131400
2014-07-22,2492.5,2600.0,2487.5,2492.5,1743.7664794921875,116519800
2014-07-23,2487.5,2537.5,2472.5,2487.5,1740.2685546875,117122600
2014-07-24,2500.0,2525.0,2482.5,2500.0,1749.013671875,44177600
2014-07-25,2550.0,2575.0,2492.5,2550.0,1783.9937744140625,84716800
2014-08-04,2562.5,2575.0,2500.0,2562.5,1792.7388916015625,90123800
2014-08-05,2575.0,2575.0,2550.0,2575.0,1801.484130859375,47463200
2014-08-06,2497.5,2550.0,2497.5,2497.5,1747.264404296875,33407400
2014-08-07,2537.5,2550.0,2500.0,2537.5,1775.2490234375,54559200
2014-08-08,2537.5,2550.0,2512.5,2537.5,1775.2490234375,25042600
2014-08-11,2550.0,2575.0,2537.5,2550.0,1783.9937744140625,39261800
2014-08-12,2562.5,2575.0,2550.0,2562.5,1792.7388916015625,40433600
2014-08-13,2575.0,2575.0,2537.5,2575.0,1801.484130859375,51960800
2014-08-14,2587.5,2587.5,2562.5,2587.5,1810.2291259765625,54467200
2014-08-15,2587.5,2600.0,2562.5,2587.5,1810.2291259765625,30466600
2014-08-18,2625.0,2625.0,2575.0,2625.0,1836.4644775390625,73499800
2014-08-19,2650.0,2662.5,2625.0,2650.0,1853.954345703125,57617800
2014-08-20,2650.0,2675.0,2625.0,2650.0,1853.954345703125,51331000
2014-08-21,2700.0,2700.0,2625.0,2700.0,1888.9349365234375,57682200
2014-08-22,2675.0,2700.0,2625.0,2675.0,1871.4444580078125,34434800
2014-08-25,2712.5,2725.0,2650.0,2712.5,1897.6795654296875,62658200
2014-08-26,2662.5,2725.0,2625.0,2662.5,1862.6995849609375,46840800
2014-08-27,2675.0,2687.5,2637.5,2675.0,1871.4444580078125,34174400
2014-08-28,2725.0,2750.0,2675.0,2725.0,1906.4248046875,62287400
